name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;322;0;322;3103;1088;3103;1088;0
header;269;110;269;147;1874;147;1874;110
A;1055;181;1055;209;1078;209;1078;181
A;1052;280;1052;280;1052;280;1052;280
B;946;648;946;667;960;667;960;648
B;1053;864;1053;892;1074;892;1074;864
C;736;1103;736;1122;751;1122;751;1103
A;555;1182;555;1182;555;1182;555;1182
A;629;1271;629;1273;630;1273;630;1271
C;1048;1533;1048;1561;1071;1561;1071;1533
A;833;2204;833;2215;839;2215;839;2204
D;1051;2207;1051;2234;1072;2234;1072;2207
B;877;2333;877;2360;895;2360;895;2333
C;1073;2337;1073;2362;1102;2362;1102;2337
D;682;2402;682;2428;702;2428;702;2402
A;1062;2700;1062;2700;1062;2700;1062;2700
A;1025;2998;1025;2998;1025;2998;1025;2998
