name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;41;0;340;3111;893;3111;893;0
header;49;159;49;192;1666;192;1666;159
A;849;221;849;246;872;246;872;221
A;826;225;826;232;832;232;832;225
A;568;542;568;547;573;547;573;542
A;701;580;701;604;715;604;715;580
B;859;888;859;915;878;915;878;888
B;818;989;818;1004;839;1004;839;989
C;855;1554;855;1581;875;1581;875;1554
A;619;1946;619;1972;636;1972;636;1946
D;859;2233;859;2259;879;2259;879;2233
A;764;2457;764;2459;765;2459;765;2457
C;480;2551;480;2578;509;2578;509;2551
C;716;2584;716;2610;735;2610;735;2584
C;374;2665;374;2684;398;2684;398;2665
B;417;2762;417;2778;440;2778;440;2762
B;708;2864;708;2880;728;2880;728;2864
A;505;2929;505;2930;505;2930;505;2929
